+-----+----------------------+-------------------+-----------------+---------------------------------------------------------------------------+
| id  | name                 | stage_name        | continent_count | continents                                                                |
| 124 | John Adams           | johnsoncaitlin    |               4 | Asia, Europe, North America, South America                                |
| 127 | Kim Winters          | kestrada          |               4 | Antarctica, Asia, Australia, Europe                                       |
| 128 | Courtney Jones       | seansalinas       |               4 | Antarctica, Asia, Europe, North America                                   |
| 130 | Brian Meadows        | brenda56          |               4 | Africa, Antarctica, Asia, South America                                   |
| 131 | Lorraine Stephens    | matthewsjeremy    |               4 | Africa, Antarctica, Asia, Europe                                          |
| 132 | Jason Chandler       | jessemyers        |               4 | Antarctica, Asia, Europe, North America                                   |
| 134 | April Roberson       | freemankristi     |               4 | Asia, Australia, Europe, South America                                    |
| 136 | Timothy Bates        | josephmoreno      |               4 | Antarctica, Asia, Europe, North America                                   |
| 143 | Brianna Young        | danielslori       |               4 | Antarctica, Asia, North America, South America                            |
| 144 | Allison Brown        | kristina24        |               4 | Antarctica, Asia, Australia, Europe                                       |
| 145 | Mark Nelson          | matthewdunn       |               4 | Africa, Asia, Europe, North America                                       |
| 151 | Shane Gilbert        | xnguyen           |               4 | Antarctica, Asia, Australia, North America                                |
| 154 | David Adams          | fwilson           |               4 | Antarctica, Asia, Europe, South America                                   |
| 158 | Nathaniel Young      | juliawilkerson    |               4 | Antarctica, Asia, Europe, North America                                   |
| 159 | Theresa Cross        | smithjacob        |               4 | Asia, Australia, North America, South America                             |
| 161 | Cynthia Padilla      | rebekah98         |               4 | Africa, Asia, Europe, South America                                       |
| 162 | Jonathan Gallagher   | kathryn43         |               4 | Africa, Antarctica, Asia, Europe                                          |
| 164 | Anthony Rice         | michellejones     |               4 | Antarctica, Asia, Australia, North America                                |
| 166 | Matthew King         | sarah06           |               4 | Antarctica, Asia, North America, South America                            |
| 169 | Elizabeth Martinez   | apark             |               4 | Antarctica, Australia, Europe, South America                              |
| 174 | Maria Morris         | gandrews          |               4 | Asia, Europe, North America, South America                                |
| 175 | Melissa Munoz        | holmesallison     |               4 | Antarctica, Asia, Europe, South America                                   |
| 178 | Richard White        | marc75            |               4 | Antarctica, Asia, Europe, South America                                   |
| 180 | Marie Brown          | julie78           |               4 | Africa, Antarctica, Asia, Europe                                          |
| 187 | Alexis Morris        | amberaguilar      |               4 | Africa, Antarctica, Asia, Europe                                          |
| 190 | Timothy Klein DVM    | ortizmelissa      |               4 | Africa, Antarctica, Asia, Europe                                          |
| 193 | Aaron Perez          | tatedalton        |               4 | Antarctica, Asia, Australia, Europe                                       |
| 197 | Brenda Stafford      | blakelopez        |               4 | Asia, Europe, North America, South America                                |
| 198 | Jon Beltran          | gonzalezkara      |               4 | Antarctica, Asia, Europe, North America                                   |
|  15 | Robert Wallace       | patricia77        |               3 | Antarctica, Asia, South America                                           |
|  22 | Douglas Cox          | wilsonangela      |               3 | Antarctica, Asia, South America                                           |
|  24 | Michael Reed         | katherinehamilton |               3 | Antarctica, Asia, North America                                           |
|  29 | Sarah Dixon          | heather69         |               3 | Antarctica, Australia, Europe                                             |
|  35 | Mark Yoder           | tammiemccoy       |               3 | Africa, Asia, Europe                                                      |
|  46 | Stephanie Goodman    | elliottelizabeth  |               3 | Antarctica, Asia, Europe                                                  |
|  50 | Tyler Jones          | lbell             |               3 | Antarctica, Asia, Europe                                                  |
|  51 | Jessica Carter       | patriciawilson    |               3 | Antarctica, Asia, North America                                           |
|  52 | Nicholas Cobb        | kevin04           |               3 | Antarctica, Asia, Europe                                                  |
|  56 | Sara Lloyd           | watsonlaura       |               3 | Antarctica, Asia, North America                                           |
|  57 | Donald Yang          | monique99         |               3 | Africa, Antarctica, Asia                                                  |
|  64 | Diane Manning        | graysharon        |               3 | Asia, North America, South America                                        |
|  65 | Michelle Lewis       | kristinroberts    |               3 | Asia, Europe, North America                                               |
|  88 | Jared Bean           | tgreer            |               3 | Antarctica, Asia, North America                                           |
|  89 | Kristi Stone         | taylordonald      |               3 | Asia, Europe, South America                                               |
| 104 | Kevin Chandler       | scottryan         |               3 | Asia, Australia, Europe                                                   |
| 110 | Molly Gilbert        | efoster           |               3 | Africa, Antarctica, Asia                                                  |
| 111 | David Anderson       | michael05         |               3 | Antarctica, Australia, Europe                                             |
| 119 | Francis Duarte       | ogriffin          |               3 | Antarctica, Asia, South America                                           |
| 135 | Kelly Webster        | vcrawford         |               3 | Antarctica, Europe, South America                                         |
| 142 | Dale Spencer         | milesbruce        |               3 | Australia, Europe, North America                                          |
| 155 | Anna Garcia          | lisa14            |               3 | Africa, Asia, South America                                               |
| 156 | Ryan Adkins          | boonerobert       |               3 | Asia, Europe, South America                                               |
| 157 | Amanda Rose          | phillipsstephanie |               3 | Asia, Europe, North America                                               |
| 160 | Michelle Johnson     | nforbes           |               3 | Antarctica, North America, South America                                  |
| 163 | Michael Martin       | dhernandez        |               3 | Antarctica, Asia, Europe                                                  |
| 165 | Veronica Fox         | eric28            |               3 | Africa, Antarctica, Asia                                                  |
| 188 | Diana Morris         | sanderspenny      |               3 | Asia, Europe, South America                                               |
| 191 | Michael Sanchez      | angeladillon      |               3 | Antarctica, Australia, Europe                                             |
| 194 | Melissa Peck         | lopezthomas       |               3 | Asia, Europe, North America                                               |
| 195 | Stephen Garcia       | wrightjacob       |               3 | Antarctica, Asia, Europe                                                  |
| 200 | Jason Holland        | grahamamy         |               3 | Africa, Asia, South America                                               |
+-----+----------------------+-------------------+-----------------+---------------------------------------------------------------------------+
193 rows in set (0.01 sec)
