cost,used,purchase_type_id,ticket_type_id,purchase_date,visitor_id,event_id,for_sale,ean-13
11.0,0,3,2,2024-12-22,35,1,0,3596337734594
16.0,0,1,2,2023-12-28,36,1,1,3276845740894
12.0,1,1,2,2024-03-15,37,1,0,6459482127870
13.0,0,2,2,2023-11-21,38,1,0,3628580190238
17.0,0,3,2,2023-12-17,39,1,1,3374733341230
18.0,1,1,2,2024-04-16,40,1,0,8405291131350
6.0,0,1,3,2024-07-06,41,1,1,7006110156121
6.0,1,3,1,2024-03-09,42,1,0,5604488267420
10.0,1,2,3,2024-03-15,43,1,0,7547318536967
9.5,1,2,3,2024-09-17,44,1,0,7774405398673
7.5,0,3,3,2024-11-22,45,1,0,5587447188249
5.0,0,2,1,2023-06-21,46,1,0,9344478148683
5.0,1,2,3,2023-12-13,47,1,0,6867221930249
5.0,0,2,1,2024-02-06,48,1,0,5324879528646
5.0,1,3,3,2023-11-25,49,1,0,5516457111443
9.5,0,2,1,2023-11-02,50,1,0,8212420198894
7.0,1,1,1,2023-07-17,51,1,0,7925645638794
10.0,1,1,3,2024-06-03,52,1,0,5790707556184
9.0,0,2,3,2025-03-09,53,1,1,3591358964423
6.5,0,2,1,2024-09-07,54,1,0,7765855165918
5.5,0,3,1,2023-12-16,55,1,0,3722006920568
6.0,1,1,3,2025-03-01,56,1,0,5828709502527
7.0,1,2,3,2024-06-19,57,1,0,1051021452495
8.0,1,1,1,2025-03-13,58,1,0,7309937000128
8.5,1,1,1,2024-01-17,59,1,0,2964870651161
6.5,0,1,1,2024-01-08,60,1,1,6687997288522
9.5,0,2,1,2024-05-22,61,1,1,3813007092270
9.0,1,1,1,2023-07-05,62,1,0,1711759272189
9.0,0,2,1,2023-07-22,63,1,0,4300406975291
9.5,1,2,3,2024-05-16,64,1,0,5784108417049
5.0,1,1,3,2024-02-11,65,1,0,3154984445822
5.5,0,3,3,2024-01-27,66,1,0,7718043960277
5.5,1,2,1,2025-02-17,67,1,0,6430629620447
10.0,0,1,1,2023-08-11,68,1,0,2879628380765
8.0,0,1,3,2023-07-09,69,1,0,4133303860272
9.5,1,1,1,2025-03-23,70,1,0,4235730197082
8.0,1,1,1,2023-10-24,71,1,0,1230898244690
6.5,1,3,1,2025-01-18,72,1,0,1206827892722
8.5,1,2,1,2023-12-13,73,1,0,8538782696444
8.0,0,2,1,2024-04-09,74,1,0,4455858016306
9.5,1,2,1,2023-06-15,75,1,0,9669723516289
9.5,1,1,1,2025-05-09,76,1,0,8066861382471
6.5,1,2,1,2025-03-24,77,1,0,5306672616865
7.5,1,3,3,2023-10-24,78,1,0,3460459699760
9.0,1,3,3,2024-04-28,79,1,0,7342890066678
5.5,1,2,3,2025-04-21,80,1,0,9541062062862
8.0,1,3,3,2025-03-07,81,1,0,7163845087502
5.0,0,3,1,2024-10-11,82,1,0,4443286054762
9.5,1,1,3,2023-11-04,83,1,0,5480856271525
6.0,1,1,3,2023-06-12,84,1,0,7789814930421
9.0,0,1,1,2025-01-28,85,1,0,9702005349437
6.0,0,3,1,2024-06-09,86,1,0,2015072507532
6.5,0,2,1,2025-05-03,87,1,0,4367482718409
10.0,0,3,1,2024-03-30,88,1,0,4603559081481
5.0,1,3,3,2024-03-19,89,1,0,6688318591881
10.0,1,1,3,2024-12-04,90,1,0,8400058659346
9.5,0,1,3,2024-12-06,91,1,0,3520766055892
5.5,1,2,3,2023-11-12,92,1,0,6314056840497
9.0,1,1,1,2023-10-22,93,1,0,4009443290553
9.5,0,3,1,2024-06-07,94,1,0,7300746570139
7.5,0,2,3,2024-06-14,95,1,0,8869295839914
9.0,1,2,3,2024-07-18,96,1,0,4016740437008
7.5,0,3,3,2024-03-22,97,1,0,1232335576723
9.5,1,1,1,2024-01-18,98,1,0,9259157358245
10.0,0,3,3,2024-07-18,99,1,0,6271109845186
7.0,0,1,3,2023-07-02,100,1,0,3162128765876
10.0,0,3,3,2024-11-28,101,1,1,3507566468390
5.0,1,2,3,2024-12-29,102,1,0,6077282210462
8.5,0,1,3,2024-09-10,103,1,1,1264462091781
7.0,0,2,3,2025-04-09,104,1,1,5229845480257
6.0,1,3,3,2023-07-18,105,1,0,2959158270462
8.5,0,1,1,2024-08-06,106,1,0,4446914524575
8.0,1,3,3,2025-01-31,107,1,0,5376144554173
8.0,1,3,1,2024-01-12,108,1,0,2920147492767
9.5,0,2,1,2025-05-03,109,1,0,9050612713053
9.5,1,3,3,2023-07-12,110,1,0,2356226801087
9.5,1,2,3,2024-03-12,111,1,0,6936931902603
7.0,1,1,1,2023-12-07,112,1,0,8627388155016
8.5,0,2,3,2024-06-10,113,1,0,1923105051772
9.5,0,1,3,2024-05-09,114,1,0,9664008816171
5.5,1,1,3,2024-08-14,115,1,0,2231546541822
6.0,1,2,1,2024-03-10,116,1,0,5541671890484
7.5,1,2,3,2023-05-27,117,1,0,1200739622307
7.0,0,3,1,2023-08-16,118,1,0,4952571205264
6.5,0,1,3,2024-07-12,119,1,0,7030808138305
9.0,1,3,3,2024-11-09,120,1,0,2441724659712
8.5,1,3,3,2023-09-22,121,1,0,7115555224463
5.5,1,1,3,2024-03-23,122,1,0,3873670460942
9.5,0,3,1,2024-09-24,123,1,0,4443217263807
9.5,0,1,1,2023-07-23,124,1,0,4634781346964
7.0,1,1,1,2023-05-29,125,1,0,5303391176375
10.0,1,2,1,2023-08-30,126,1,0,3680048144446
10.0,1,1,3,2023-12-03,127,1,0,2617702590639
9.5,1,1,3,2025-01-10,128,1,0,6886951052236
7.0,0,2,1,2024-06-10,129,1,0,3613751310012
6.0,0,2,3,2024-04-02,130,1,0,3152422181725
6.0,1,1,3,2024-01-28,131,1,0,6835710156099
7.0,0,1,3,2024-10-30,132,1,0,5101450361031
6.0,0,1,1,2024-06-25,133,1,0,8946685074072
10.0,0,1,1,2023-12-16,134,1,0,4131092715091
7.0,1,3,3,2025-01-30,135,1,0,3126863169146
5.0,1,2,1,2023-11-30,136,1,0,3020998166399
6.0,0,2,1,2024-11-12,137,1,1,5264844485325
7.0,0,3,1,2024-08-29,138,1,0,9023369252622
7.5,0,1,1,2023-09-07,139,1,0,2296067629530
7.5,1,2,3,2024-11-21,140,1,0,8210348803426
8.5,1,1,3,2024-11-19,141,1,0,7533717183483
6.5,1,2,3,2023-07-10,142,1,0,5628757043544
9.0,1,2,3,2025-02-19,143,1,0,3567958494103
6.0,1,1,1,2024-08-28,144,1,0,8200729517263
7.5,1,3,1,2024-11-27,145,1,0,9209925920798
7.5,0,3,1,2023-07-15,146,1,0,4776389313523
5.0,1,2,1,2024-08-23,147,1,0,2126083662042
7.0,1,2,3,2025-04-13,148,1,0,2337126534491
9.0,0,1,1,2023-07-10,149,1,1,7005675128142
5.0,1,3,3,2025-02-20,150,1,0,5940862315405
9.5,0,2,3,2023-10-05,151,1,1,6497044202714
5.5,1,3,1,2024-10-27,152,1,0,5546297857917
6.5,1,2,3,2024-04-23,153,1,0,8539908284547
10.0,1,3,1,2024-09-14,154,1,0,7265056210921
5.0,0,3,1,2024-03-22,155,1,0,1499227359972
6.5,0,1,1,2023-11-16,156,1,0,1940192662481
5.5,0,1,1,2024-10-04,157,1,0,6003829078704
9.0,0,1,3,2024-11-15,158,1,0,7213845096589
9.0,1,1,3,2025-01-11,159,1,0,7962016231616
9.0,1,3,1,2024-11-03,160,1,0,3353006702173
7.5,0,3,1,2025-02-05,161,1,1,5959463357755
9.0,1,1,1,2025-01-08,162,1,0,2937364815501
8.0,1,1,1,2024-07-26,163,1,0,6769837212199
6.0,0,1,3,2023-09-22,164,1,0,8904299212368
5.0,1,2,1,2025-04-01,165,1,0,8487990912899
5.5,1,3,3,2023-09-18,166,1,0,2165322218980
5.5,0,3,1,2023-09-18,167,1,1,2003624992443
7.0,0,3,3,2023-07-27,168,1,0,1372805738614
9.0,1,3,3,2023-10-31,169,1,0,9687998970091
10.0,1,1,1,2024-02-20,170,1,0,7063455513853
9.5,1,1,3,2024-02-13,171,1,0,4786711304430
5.5,1,2,3,2024-06-08,172,1,0,6004963641272
10.0,0,2,1,2024-05-28,173,1,0,1859003549972
10.0,1,1,3,2024-03-02,174,1,0,9984620161455
7.5,0,2,3,2025-01-31,175,1,1,7649292852432
6.5,0,2,1,2024-06-02,176,1,0,3938246907545
9.5,1,1,3,2023-07-17,177,1,0,8834734410553
5.5,0,1,3,2025-04-29,178,1,0,5717094497676
5.0,0,3,3,2025-01-27,179,1,0,6188915729143
7.0,0,3,1,2024-04-07,180,1,1,1377347673676
7.5,0,3,1,2024-09-13,181,1,0,3734278640257
9.0,1,3,3,2024-12-15,182,1,0,2478145382513
9.5,1,2,3,2024-04-21,183,1,0,1658392222298
6.0,0,2,1,2025-04-21,184,1,0,9777075684398
10.0,0,1,3,2024-02-12,185,1,0,1613709721721
5.0,1,2,3,2025-03-13,186,1,0,6239856451159
8.0,1,3,3,2023-05-27,187,1,0,4963893011147
9.0,0,2,3,2025-02-14,188,1,0,3653080092322
5.5,0,3,1,2023-12-05,189,1,0,4193688668563
5.5,0,1,3,2024-05-03,190,1,0,4933008027246
7.0,0,2,1,2023-05-14,191,1,0,6448737938223
5.0,0,3,3,2024-10-25,192,1,1,2950116535745
5.5,0,1,1,2023-05-28,193,1,1,4153132673544
8.0,1,3,3,2025-02-12,194,1,0,9005038891666
5.0,0,1,3,2023-10-14,195,1,1,2064174949575
6.0,1,3,3,2023-10-20,196,1,0,9909980913165
9.5,1,3,3,2024-11-16,197,1,0,3999412444772
8.5,1,2,3,2023-10-09,198,1,0,2178061195798
7.0,0,2,1,2025-03-30,199,1,1,4152366157477
9.0,1,2,1,2025-04-26,200,1,0,9842984238293
6.0,0,3,1,2025-03-27,201,1,0,2017555140749
9.5,1,3,3,2024-12-18,202,1,0,8234955575582
7.0,0,1,3,2023-09-28,203,1,0,3706171143326
9.0,1,3,1,2024-04-16,204,1,0,3701741182001
5.0,0,3,3,2024-02-10,205,1,0,1313117845742
5.5,0,3,3,2024-11-29,206,1,0,3701826842744
6.0,0,3,1,2025-03-07,207,1,1,9554484394674
7.5,0,1,3,2023-11-03,208,1,0,8889375350850
9.5,1,1,3,2023-12-01,209,1,0,3842235365897
6.5,1,2,1,2023-12-19,210,1,0,8022343981387
6.0,0,2,1,2023-09-19,211,1,0,6055523985383
5.5,0,1,1,2024-05-12,212,1,1,2263426116143
5.0,1,3,3,2024-10-21,213,1,0,7885455224347
9.0,1,3,1,2024-07-28,214,1,0,8165220269104
9.0,1,1,1,2023-06-02,215,1,0,5625042209679
5.5,1,1,1,2024-06-29,216,1,0,4996427426648
8.5,1,3,1,2024-03-23,217,1,0,1763558424540
7.5,0,1,3,2024-06-18,218,1,0,4128088650275
5.5,1,2,1,2025-02-14,219,1,0,5031271150514
6.5,1,2,1,2024-08-19,220,1,0,7133819325298
6.5,0,3,1,2023-08-26,221,1,0,7382932104031
10.0,1,2,1,2025-02-13,222,1,0,7181124071325
5.5,0,3,3,2025-03-17,223,1,1,1817460905662
9.5,0,2,3,2023-09-04,224,1,1,9020065257148
6.5,1,3,3,2024-02-22,225,1,0,1425783917766
5.5,1,1,3,2025-01-23,226,1,0,1701061800624
10.0,0,2,3,2023-08-17,227,1,1,8594568517595
6.0,0,3,3,2023-07-07,228,1,0,5969052446744
9.5,1,1,3,2024-09-11,229,1,0,3186160490708
6.0,1,3,1,2024-01-10,230,1,0,9440373255870
9.0,1,3,1,2024-12-17,231,1,0,6241157513255
7.0,0,2,3,2024-05-19,232,1,0,1765602865132
10.0,1,3,3,2024-02-06,233,1,0,6803621983849
5.0,1,3,3,2023-06-19,234,1,0,3784856279908
7.5,1,3,1,2024-11-28,235,1,0,6849295088334
6.0,0,1,3,2023-11-24,236,1,0,6758475599309
7.5,0,2,1,2025-01-02,237,1,0,5711600129927
9.5,1,2,1,2025-01-29,238,1,0,4523778341732
6.5,1,2,3,2024-05-18,239,1,0,2436887847343
9.0,1,3,3,2024-07-14,240,1,0,4122068721345
7.5,0,1,3,2023-10-29,241,1,0,3687488183939
6.0,0,3,3,2024-05-28,242,1,1,7155228420065
7.5,0,1,3,2023-09-03,243,1,0,8386468831022
6.5,1,3,3,2024-01-01,244,1,0,9209544716565
8.5,1,3,1,2024-02-18,245,1,0,1685024532907
5.0,1,3,3,2023-11-24,246,1,0,6248259654114
10.0,1,1,1,2024-10-15,247,1,0,8538359824330
10.0,1,3,3,2023-10-22,248,1,0,7797172342395
9.0,0,3,1,2025-01-04,249,1,1,4524085128508
7.0,1,1,1,2024-12-18,250,1,0,4474124728055
9.0,1,3,3,2024-05-10,251,1,0,6659408574767
7.0,0,2,3,2023-11-14,252,1,0,6819117498456
6.0,0,1,1,2023-11-17,253,1,1,8225940403484
6.5,0,3,3,2024-12-02,254,1,0,2231284348929
7.5,0,1,3,2023-10-22,255,1,1,6852208437266
6.5,0,2,1,2024-12-01,256,1,0,2032560213714
7.0,1,1,1,2023-09-18,257,1,0,2556125345991
9.0,0,2,1,2024-01-03,258,1,0,9745948752591
5.5,1,2,1,2023-08-01,259,1,0,5063682873674
5.5,0,3,3,2024-04-26,260,1,1,7681559400665
5.5,1,3,3,2023-10-26,261,1,0,5895726372904
6.5,1,2,1,2023-06-29,262,1,0,5067900559277
8.0,0,1,1,2023-11-05,263,1,0,2063373054590
8.0,0,3,1,2024-06-13,264,1,0,1208434077943
9.0,1,3,1,2025-03-19,265,1,0,7485050703905
8.5,0,1,3,2024-02-24,266,1,0,9206573356489
6.5,1,1,3,2024-11-03,267,1,0,8693353861756
7.0,0,3,3,2024-02-13,268,1,0,7285186842053
7.5,1,3,1,2023-10-22,269,1,0,9761611768483
7.0,0,1,1,2024-09-20,270,1,1,8486117865111
5.5,0,2,1,2024-11-06,271,1,0,5836753203603
8.5,1,1,3,2024-02-04,272,1,0,5112532380062
9.0,0,1,1,2023-09-12,273,1,1,2632541159154
9.0,1,1,3,2024-08-16,274,1,0,1241593065539
8.5,1,2,3,2024-01-19,275,1,0,6121802635715
8.0,1,2,3,2024-07-07,276,1,0,9464981749167
5.0,1,3,1,2025-02-03,277,1,0,9765250396525
9.5,1,1,3,2024-02-23,278,1,0,6447742491180
7.5,1,3,3,2025-05-04,279,1,0,4357776754628
8.5,1,1,3,2024-08-28,280,1,0,1942321928781
8.5,1,3,3,2024-06-07,281,1,0,5231080688530
7.5,1,2,3,2024-07-25,282,1,0,5290053425596
8.0,0,3,1,2025-04-02,283,1,0,7401930663309
8.5,1,3,1,2024-10-09,284,1,0,4974762403474
5.0,1,3,1,2023-12-10,285,1,0,6672823208758
9.5,0,2,3,2024-05-10,286,1,0,6799724962612
8.5,0,1,1,2024-03-09,287,1,1,4681064970643
9.0,1,1,3,2024-12-12,288,1,0,3398685640312
8.0,0,3,1,2023-07-01,289,1,0,1103073096915
5.5,0,3,3,2025-03-09,290,1,0,8506169292897
9.5,0,3,3,2025-05-13,291,1,1,3739981995207
8.5,1,1,1,2023-12-30,292,1,0,7854936520540
7.5,1,3,3,2024-07-21,293,1,0,1684538754817
8.0,1,1,1,2024-03-10,294,1,0,4865722261848
10.0,0,2,1,2023-11-20,295,1,1,2872083730525
10.0,1,3,3,2024-06-21,296,1,0,3735586512026
6.0,1,3,3,2024-02-24,297,1,0,1261473727557
7.5,0,1,3,2025-02-07,298,1,0,6247301589255
8.5,0,2,1,2023-12-21,299,1,0,8460806102321
7.0,1,3,3,2024-10-11,300,1,0,5631023934878
8.5,1,2,3,2024-03-30,301,1,0,5915351617563
8.0,1,3,1,2024-07-21,302,1,0,1913868329131
8.5,0,1,1,2024-11-09,303,1,0,3842281421126
8.0,0,1,1,2023-10-30,304,1,0,3153434095765
7.5,0,1,1,2024-03-23,305,1,0,3841580909342
6.5,1,1,3,2024-03-08,306,1,0,8038623113613
8.5,1,3,3,2024-10-12,307,1,0,9886473566681
6.5,0,2,3,2024-05-15,308,1,1,5971823836353
9.5,1,3,1,2024-08-23,309,1,0,3246056904942
9.5,1,2,3,2023-11-05,310,1,0,7801563344612
10.0,1,3,3,2024-07-06,311,1,0,6358459471123
7.5,1,1,3,2024-08-11,312,1,0,2324627097266
8.5,1,3,1,2024-06-14,313,1,0,2767863344646
8.0,1,3,1,2023-07-04,314,1,0,2925706602097
7.5,1,1,1,2024-05-03,315,1,0,4489752853388
8.0,0,1,1,2023-12-29,316,1,0,7804940647583
10.0,0,1,3,2024-08-26,317,1,1,6745353365332
9.0,0,2,3,2023-07-22,318,1,0,1930433644814
6.0,0,1,3,2024-01-12,319,1,1,9566377641939
8.0,1,3,3,2024-08-20,320,1,0,6720869150426
9.0,0,1,3,2023-06-17,321,1,0,3091036167628
5.0,1,1,1,2024-01-26,322,1,0,8973704519710
7.5,1,3,1,2024-03-07,323,1,0,7975713973234
10.0,0,2,3,2023-11-19,324,1,1,8079142494248
8.0,1,2,3,2024-09-20,325,1,0,2103442289980
9.5,1,3,3,2024-11-29,326,1,0,8895983714069
6.5,0,2,3,2023-06-02,327,1,0,5417964833624
6.5,1,3,3,2024-12-05,328,1,0,2041354835628
10.0,0,2,3,2024-01-27,329,1,0,7651438504371
6.5,1,1,1,2024-09-04,330,1,0,1905191821331
5.5,0,1,3,2024-05-01,331,1,0,5623897766496
5.0,0,3,3,2025-05-11,332,1,0,9651641489767
8.5,0,2,3,2024-04-10,333,1,0,1384614935801
5.0,1,2,3,2024-06-23,334,1,0,2854732639861
5.5,1,2,3,2023-07-26,335,1,0,6207513819014
10.0,1,1,1,2023-11-16,336,1,0,3580066871888
7.0,1,2,1,2024-01-20,337,1,0,7992181093169
8.0,1,3,1,2024-04-11,338,1,0,5640538574782
9.0,1,2,1,2023-09-13,339,1,0,6578561712935
9.5,0,1,1,2024-04-23,340,1,0,9732850735753
10.0,1,2,3,2023-06-18,341,1,0,6329434227955
9.5,1,1,3,2024-06-14,342,1,0,2690155286894
7.5,0,3,3,2024-05-25,343,1,0,6617912976763
5.5,0,1,1,2025-01-05,344,1,1,7077074754902
10.0,0,3,1,2024-06-22,345,1,0,6342948655191
10.0,1,1,1,2023-08-17,346,1,0,9385175951733
7.5,1,3,1,2024-05-12,347,1,0,7315123906924
5.5,0,3,1,2024-08-21,348,1,0,6653156333442
5.0,1,2,1,2023-12-01,349,1,0,4517550588826
9.0,0,3,1,2024-09-22,350,1,1,2827560936079
7.5,0,2,1,2023-10-16,351,1,0,6133008334775
6.5,1,1,3,2024-05-17,352,1,0,3904834094604
7.0,0,3,1,2023-09-04,353,1,0,7090929504910
6.0,0,3,1,2024-04-10,354,1,1,1098709848129
8.5,0,2,1,2024-05-05,355,1,0,4551580086744
6.0,1,1,3,2024-08-22,356,1,0,2443672244221
7.5,0,2,3,2024-01-10,357,1,0,7400430299011
6.0,0,3,3,2023-08-17,358,1,0,1563567877025
8.0,1,2,1,2023-05-26,359,1,0,6786476900895
9.0,1,3,3,2025-02-17,360,1,0,2335842295201
5.5,1,2,3,2025-01-06,361,1,0,9028888640842
9.0,1,2,1,2024-12-23,362,1,0,6972948345426
5.0,1,1,1,2024-07-31,363,1,0,3797880121122
5.5,1,2,3,2023-11-30,364,1,0,9935986925176
6.5,0,2,1,2023-09-02,365,1,0,1878358760310
9.5,1,1,1,2023-08-09,366,1,0,6796086855809
6.0,0,2,3,2025-03-09,367,1,0,1831784656891
9.0,0,3,1,2025-04-19,368,1,1,3997015558424
6.5,1,1,3,2025-02-06,369,1,0,8497045083058
5.0,0,2,3,2024-05-23,370,1,0,2103813607740
9.5,1,2,1,2024-05-20,371,1,0,8508774178347
5.0,1,3,3,2024-11-27,372,1,0,9007509814839
8.5,1,2,1,2023-06-22,373,1,0,8819989223519
5.5,0,1,3,2023-09-20,374,1,0,3022480676447
10.0,0,1,3,2023-06-03,375,1,0,1247627500596
10.0,0,3,1,2024-12-03,376,1,0,9912284359050
6.0,1,2,1,2024-08-06,377,1,0,2023476350425
9.0,1,3,1,2024-01-27,378,1,0,7991208779933
9.5,0,1,3,2023-08-30,379,1,0,4414434362382
8.0,1,1,1,2023-12-22,380,1,0,8106722169817
9.0,0,3,1,2024-12-29,381,1,1,8770499406186
8.5,1,3,1,2024-01-17,382,1,0,2594258396100
8.5,0,1,3,2024-07-27,383,1,1,5654380704226
7.5,1,3,1,2023-09-27,384,1,0,3299414674238
7.5,0,1,3,2024-01-09,385,1,1,6766674779728
5.0,0,2,3,2023-09-22,386,1,0,6000047546921
9.0,0,3,1,2024-11-17,387,1,0,5776522186540
5.5,0,1,1,2024-05-29,388,1,0,9731819016041
9.0,0,1,3,2024-07-05,389,1,0,6346426204525
7.0,0,2,1,2023-07-21,390,1,0,9434722005335
6.0,1,2,1,2024-01-24,391,1,0,8779305300043
9.0,0,1,1,2023-09-26,392,1,0,3102229120481
7.0,1,2,1,2024-12-02,393,1,0,1499417219477
5.0,0,1,3,2023-06-23,394,1,0,5529998741393
5.5,1,2,1,2024-06-06,395,1,0,2110108398179
7.0,1,3,1,2023-08-18,396,1,0,5422527964624
7.0,0,2,1,2024-04-03,397,1,0,9142039411551
8.0,1,2,1,2024-03-13,398,1,0,6539631674949
9.0,0,2,1,2024-08-11,399,1,0,4400959865221
5.0,1,1,3,2024-05-08,400,1,0,1220696340767
5.0,1,1,1,2024-07-28,401,1,0,3165117136720
8.5,0,3,1,2023-09-14,402,1,0,5994521863268
7.5,0,2,3,2024-11-22,403,1,1,5031697207304
5.0,0,2,1,2023-11-04,404,1,0,7441984807729
8.0,0,3,1,2023-07-26,405,1,0,4569412333189
5.0,1,1,3,2023-12-16,406,1,0,8942982581993
6.0,1,1,3,2023-08-28,407,1,0,3013522226782
5.5,1,2,3,2023-12-27,408,1,0,9857793651693
5.5,1,1,3,2023-12-03,409,1,0,5104851780263
10.0,0,2,3,2024-06-26,410,1,0,1463910449683
10.0,1,1,3,2023-10-25,411,1,0,2548905765027
6.0,1,2,3,2023-08-21,412,1,0,1597424141139
5.5,0,2,1,2023-05-21,413,1,0,6951510626038
7.0,0,2,1,2023-05-20,414,1,0,5034348556049
9.0,0,1,1,2024-08-24,415,1,0,5629233226265
9.5,1,2,1,2023-05-17,416,1,0,4401883217101
10.0,1,1,3,2024-07-23,417,1,0,8443045244397
7.0,1,2,3,2024-10-11,418,1,0,8953125147284
8.0,1,2,3,2025-03-04,419,1,0,3292366193767
6.0,1,3,1,2023-09-08,420,1,0,8660219256631
9.0,1,2,3,2024-07-08,421,1,0,9612892385445
9.5,0,1,3,2024-03-16,422,1,0,4056714257112
10.0,1,3,3,2025-02-08,423,1,0,9635167805465
9.5,0,1,3,2024-12-13,424,1,0,2347501089342
5.5,0,1,1,2023-09-07,425,1,1,3057386513994
9.5,1,1,3,2025-03-07,426,1,0,6140338091059
7.0,1,1,1,2024-04-18,427,1,0,2289993459165
9.0,1,3,1,2024-07-27,428,1,0,3587255543529
8.0,1,3,3,2024-04-01,429,1,0,5387411940317
6.5,0,1,1,2024-07-20,430,1,0,2161528361844
5.5,1,3,3,2024-02-01,431,1,0,6001431943520
8.0,0,2,3,2025-03-02,432,1,0,6192450109724
11.0,1,2,2,2024-10-22,473,2,0,6554137178587
12.0,0,2,2,2024-12-05,474,2,0,7803605577985
16.0,1,2,2,2024-06-08,475,2,0,8986732373154
15.0,1,1,2,2023-05-15,476,2,0,9323878114941
17.0,0,1,2,2024-04-12,477,2,0,7125072658627
10.0,1,2,2,2024-01-18,478,2,0,6695028229523
11.0,1,2,2,2025-04-06,479,2,0,2847462897342
10.0,1,1,2,2024-04-08,480,2,0,8120250488818
12.0,1,1,2,2024-06-30,481,2,0,4874959949310
17.0,1,3,2,2025-04-29,482,2,0,9736407930733
13.0,1,3,2,2024-08-07,483,2,0,1073912031242
13.0,1,1,2,2024-08-14,484,2,0,4480504358469
14.0,1,1,2,2024-11-29,485,2,0,5279092071651
11.0,0,3,2,2025-03-08,486,2,0,1685471181514
15.0,1,2,2,2023-10-16,487,2,0,4797713823548
15.0,1,3,2,2023-06-27,488,2,0,2128090144248
14.0,1,2,2,2024-02-09,489,2,0,1801079442778
18.0,1,1,2,2024-05-30,490,2,0,5341152794084
16.0,0,1,2,2024-04-01,491,2,0,4404803422119
11.0,1,2,2,2025-01-31,492,2,0,6841693535054
19.0,1,3,2,2024-09-15,493,2,0,5543896928886
12.0,1,3,2,2023-10-24,494,2,0,3103419731986
10.0,0,1,2,2024-03-10,495,2,0,5008079159150
16.0,1,3,2,2025-03-30,496,2,0,2601919420509
16.0,0,2,2,2025-01-31,497,2,0,5484084203638
13.0,0,3,2,2024-08-05,498,2,0,6906384443083
18.0,1,2,2,2024-04-09,499,2,0,2799196889989
12.0,1,1,2,2024-11-22,500,2,0,4753938928353
19.0,0,2,2,2023-08-09,501,2,1,3317007030667
15.0,0,1,2,2024-01-21,502,2,0,8760830181737
14.0,1,2,2,2023-09-12,503,2,0,8309941464776
16.0,1,3,2,2023-09-10,504,2,0,3104958997575
16.0,0,2,2,2024-06-05,505,2,1,9826545806521
10.0,0,2,2,2023-10-27,506,2,0,4496709228522
19.0,1,3,2,2023-08-06,507,2,0,8864664945166
11.0,0,1,2,2024-12-25,508,2,0,6320589809847
12.0,1,1,2,2024-10-27,509,2,0,1025578446825
16.0,0,2,2,2023-09-17,510,2,0,1150712656338
10.0,0,1,2,2024-09-13,511,2,1,2460850544880
14.0,1,1,2,2024-10-03,512,2,0,8951621108850
6.0,1,1,3,2025-03-19,513,2,0,7284203477430
7.5,0,1,3,2024-05-04,514,2,0,8538565997988
6.5,0,3,3,2025-05-11,515,2,0,9389856443264
6.0,1,2,3,2023-06-12,516,2,0,1117743530393
7.0,0,1,1,2024-06-13,517,2,0,8463452138859
7.0,0,2,1,2024-01-23,518,2,0,3699277248942
5.0,0,2,3,2025-04-09,519,2,1,5271252037293
